FBI;COMF;RSES;RRS;CSS;MSFU_Passive;MSFU_Private;MSFU_Public;Stress;Anxiety;Depression
22;31;23;42;48;12;11;6;10;10;3
12;38;14;65;59;13;4;3;5;2;11
23;44;23;47;51;16;12;3;4;4;5
14;53;14;72;61;12;4;3;12;11;8
25;37;15;51;55;13;14;9;9;2;7
14;17;16;43;41;11;8;3;2;1;7
25;40;17;41;51;24;14;14;3;0;0
22;31;10;61;48;18;14;5;8;6;13
26;50;17;46;68;15;14;12;1;0;2
25;39;25;31;50;15;10;8;3;0;3
12;29;11;73;62;8;4;3;6;3;14
26;42;15;66;62;24;14;6;13;8;8
19;30;21;50;60;12;4;3;2;2;9
16;36;21;40;50;11;14;6;9;6;7
21;23;24;59;40;13;7;7;7;5;6
17;42;19;62;55;16;10;3;11;1;13
29;40;13;65;52;24;14;16;12;12;14
20;42;8;61;61;9;14;6;17;12;16
15;27;13;35;39;17;8;6;1;0;12
14;30;16;44;58;17;11;11;7;5;4
16;37;26;51;41;11;5;5;10;8;4
24;41;15;43;57;13;14;8;4;4;3
19;29;15;56;50;14;14;6;11;10;10
8;11;30;23;41;7;2;6;0;0;0
21;33;2;23;34;15;10;6;2;0;0
21;43;19;61;56;21;6;15;11;4;6
8;18;17;43;49;11;14;6;4;1;5
28;28;20;45;66;10;14;5;9;3;3
20;38;9;58;57;18;12;8;14;7;15
16;29;27;32;40;18;12;6;3;3;3
20;44;28;60;52;10;4;7;11;0;6
25;40;19;58;62;14;10;8;11;6;4
18;31;19;49;48;18;14;4;3;3;5
22;38;15;52;56;15;10;6;2;1;6
23;43;22;45;40;21;12;15;9;10;10
22;25;17;46;53;8;4;8;7;6;7
27;42;19;50;55;20;14;14;6;1;3
24;31;19;51;46;24;14;13;11;10;2
23;37;18;44;51;15;11;15;9;10;4
22;27;19;23;51;16;8;5;0;0;0
21;32;10;78;44;21;14;6;16;16;21
10;33;16;52;49;6;10;3;7;10;9
19;33;19;54;55;12;14;13;2;3;1
18;23;17;58;60;13;12;3;11;0;10
10;24;19;57;54;14;10;6;3;2;0
22;35;14;55;49;16;14;6;11;7;13
9;35;18;44;49;9;2;3;3;1;3
19;41;25;39;55;7;12;7;11;4;1
21;34;14;49;53;13;12;5;13;15;7
25;41;20;55;60;15;11;6;9;7;6
19;37;24;41;53;12;6;8;1;0;1
23;31;27;36;45;20;13;13;8;6;5
20;30;27;22;40;8;14;12;0;0;0
13;31;8;51;59;15;14;3;8;0;17
15;44;30;27;51;18;7;9;2;0;0
28;41;24;29;47;16;11;12;3;1;0
22;35;20;26;39;10;6;6;1;1;0
21;35;23;38;54;14;14;6;4;0;9
11;19;24;57;41;16;12;9;12;11;13
14;29;21;54;59;14;12;6;12;3;4
11;18;12;48;52;13;7;6;3;2;5
17;42;11;62;64;13;10;9;11;2;8
22;34;20;52;50;23;10;15;11;9;9
23;45;6;66;58;15;11;13;15;9;16
18;11;9;58;56;4;14;3;10;10;16
25;43;18;32;64;12;6;9;4;4;1
6;21;21;36;34;4;2;3;1;3;4
28;48;14;45;51;22;10;16;13;11;11
16;34;15;51;53;12;2;4;2;1;7
25;44;16;52;60;18;9;18;9;2;3
19;38;14;68;39;9;12;6;5;6;16
22;39;16;68;55;16;10;6;15;12;13
11;20;19;41;53;7;2;3;9;9;6
8;24;20;51;34;4;8;3;10;7;10
7;39;18;44;47;6;5;4;4;2;0
9;22;3;61;48;6;4;3;4;1;17
8;21;23;34;56;5;7;3;2;3;0
27;33;20;44;55;23;11;10;1;1;1
21;13;17;76;46;17;12;6;16;19;21
24;36;16;54;56;16;8;6;12;7;14
22;45;15;39;68;13;14;6;5;7;2
22;38;24;25;54;13;8;9;0;1;1
30;42;28;30;48;19;10;12;4;2;1
21;28;18;32;49;14;11;8;0;0;0
19;39;11;51;56;16;10;14;12;6;13
25;34;18;46;45;20;11;8;9;9;10
28;51;9;81;73;23;6;6;13;13;15
24;34;24;64;57;19;11;6;5;5;8
20;33;18;22;45;20;10;15;7;10;8
9;35;11;61;59;9;4;6;4;4;5
24;39;17;35;59;13;10;11;5;1;0
28;29;21;43;52;12;14;9;5;0;2
23;42;20;49;39;22;12;12;3;1;0
17;31;10;57;60;9;10;5;4;4;4
26;44;19;59;63;18;10;7;10;4;1
20;30;26;43;41;9;7;14;13;3;1
16;33;27;40;49;17;10;13;6;6;6
19;40;12;55;59;14;12;6;6;2;7
23;32;7;51;48;12;10;14;4;5;12
19;47;1;67;67;12;14;9;9;9;21
18;38;11;57;54;18;10;6;6;4;11
10;40;0;26;37;18;11;13;5;0;0
30;41;16;56;47;10;12;14;2;1;1
15;46;6;77;63;12;14;3;11;15;17
24;41;22;27;54;18;8;15;0;1;0
20;34;20;27;43;11;14;9;5;1;0
18;26;20;26;37;12;8;5;0;2;1
22;38;20;39;51;13;14;13;8;4;2
15;37;16;54;43;13;10;7;13;12;10
30;43;30;24;24;17;14;21;0;0;0
18;30;19;44;53;19;10;6;2;2;2
20;34;19;37;57;17;10;7;6;1;5
19;37;19;47;46;24;6;7;4;4;3
24;23;8;74;37;14;14;15;18;10;19
21;39;17;54;50;21;10;13;12;10;9
23;20;29;40;45;11;10;6;8;5;2
11;34;1;72;59;6;8;3;13;7;15
13;29;14;38;47;15;2;9;1;4;6
15;18;19;38;63;6;5;3;8;2;6
24;42;19;54;57;17;13;17;8;1;3
24;23;16;41;60;8;10;6;5;1;3
13;34;18;48;46;15;4;6;4;3;4
21;51;11;59;55;12;4;12;10;5;17
30;45;13;73;71;12;4;8;18;8;19
24;39;22;30;56;18;14;13;3;1;1
21;43;18;42;53;16;14;6;4;1;12
21;44;19;31;56;14;8;8;2;0;1
12;33;10;27;47;10;2;3;5;2;4
9;42;24;24;58;8;4;6;1;0;0
24;34;29;25;37;14;6;11;0;0;0
17;21;19;53;40;10;8;6;8;7;5
16;31;20;39;48;15;10;8;6;1;2
23;30;21;43;53;24;10;6;3;3;3
21;42;10;57;53;16;10;12;10;9;9
15;33;16;49;56;9;10;8;9;2;1
18;32;13;32;51;18;10;12;3;0;2
26;38;22;41;53;21;14;6;9;2;6
30;33;15;56;41;18;14;16;11;10;10
23;25;14;54;51;24;14;10;4;4;4
29;33;22;27;58;18;7;12;1;0;0
22;34;15;56;49;15;10;14;11;11;10
30;46;13;62;55;22;13;17;14;11;15
20;29;12;48;43;17;11;11;3;3;8
7;37;20;42;42;8;10;5;4;4;3
8;16;20;41;49;6;2;3;3;4;0
14;13;15;47;44;14;14;5;6;1;4
15;32;10;66;51;6;4;5;6;5;14
18;32;19;54;45;17;14;6;7;10;12
11;22;17;50;46;10;4;3;14;7;12
19;38;20;50;48;13;7;14;11;12;5
10;25;11;52;40;5;14;4;12;3;17
28;46;16;77;50;26;13;20;11;12;9
9;35;16;41;56;8;5;3;3;0;2
17;19;13;56;62;17;14;6;9;8;11
17;35;15;60;45;13;13;6;14;10;18
30;30;23;41;42;8;4;7;6;2;9
23;30;30;22;51;8;10;6;0;0;0
22;46;6;24;35;19;11;12;0;0;0
30;47;28;41;51;28;10;6;2;0;0
19;28;19;34;42;15;9;10;0;1;2
24;48;11;62;65;17;14;9;14;16;15
21;32;13;40;43;8;2;3;6;4;7
17;33;21;50;55;16;10;5;8;5;8
22;37;18;37;50;15;12;12;3;5;2
22;34;18;58;45;18;10;15;13;10;11
22;28;19;52;36;8;14;6;10;7;6
17;27;23;40;42;9;10;7;5;3;4
29;34;15;49;55;20;14;15;8;4;8
23;35;18;44;50;22;10;9;7;6;7
21;40;15;51;65;12;12;13;9;12;5
22;42;21;33;54;15;14;6;2;0;3
23;43;17;50;62;16;13;12;8;6;5
23;42;7;60;49;20;14;8;8;10;15
28;51;19;54;43;10;14;7;13;6;10
24;49;7;77;51;12;14;8;16;7;17
16;27;7;77;48;8;14;3;14;14;19
22;29;18;34;40;18;13;9;4;0;5
16;40;17;39;59;10;7;6;3;1;3
22;37;12;61;59;11;14;5;18;9;11
21;26;20;39;48;17;10;7;8;7;6
20;38;15;33;45;14;6;8;13;4;2
17;31;20;44;57;8;7;9;4;3;3
27;42;18;43;46;7;14;15;3;0;2
22;43;7;56;69;11;14;7;3;1;7
26;18;17;59;45;18;11;15;14;11;13
9;21;19;29;37;6;7;3;0;0;0
27;37;18;41;52;14;10;6;8;6;6
17;36;20;50;44;18;4;5;12;10;5
27;45;7;50;61;22;14;15;19;17;16
20;42;15;35;65;17;6;6;10;7;6
30;36;21;29;47;14;10;9;5;1;4
17;27;23;52;27;8;10;9;3;2;1
14;13;15;50;50;11;12;6;5;3;4
29;35;19;31;61;18;9;12;8;10;2
24;33;20;24;47;18;10;14;0;0;0
26;39;14;51;61;18;14;7;12;10;11
29;34;21;49;49;17;11;12;4;0;1
22;44;20;29;56;16;8;9;1;1;1
18;42;22;42;59;11;10;8;4;1;7
20;41;11;63;55;16;8;8;8;7;6
24;37;15;52;47;10;8;14;8;8;5
20;45;15;60;59;15;6;5;15;4;14
22;30;22;52;46;15;12;13;11;3;5
29;42;19;48;48;17;8;13;7;2;4
18;39;24;36;54;9;10;6;2;2;1
23;53;19;31;61;14;13;12;4;2;0
15;30;30;54;36;14;10;6;0;1;0
25;36;18;40;54;13;8;9;8;7;3
23;36;21;26;50;9;7;8;2;0;0
17;26;19;43;42;9;5;6;3;2;5
16;23;25;27;44;12;12;6;1;0;0
13;28;9;54;54;14;6;6;4;3;9
22;36;8;48;64;14;9;7;16;2;18
17;45;1;82;65;16;8;3;18;14;21
15;32;17;45;41;12;7;11;4;5;4
15;27;23;34;43;8;11;3;0;1;1
21;25;27;28;38;15;12;6;3;2;0
22;30;19;57;54;20;11;11;4;5;3
30;31;18;40;54;17;12;13;8;1;5
14;21;21;39;49;10;10;3;5;2;6
10;37;22;35;39;20;12;11;4;5;2
20;36;20;29;48;16;4;6;1;0;0
22;27;18;35;47;11;9;9;3;0;0
28;30;11;60;48;14;14;4;7;3;11
24;42;22;51;48;24;12;16;7;6;6
24;45;17;60;56;18;14;6;13;0;15
21;23;9;60;50;10;14;5;4;7;19
26;46;15;52;62;16;12;6;4;1;10
23;23;20;32;47;24;10;15;7;0;1
20;48;19;41;54;10;7;11;10;5;1
23;39;18;61;50;18;5;6;14;13;15
21;42;20;30;53;18;10;13;7;4;3
26;34;17;44;49;20;14;12;14;11;14
14;41;11;58;58;8;5;4;10;9;10
16;21;20;37;35;10;9;7;1;1;0
30;11;13;43;35;19;10;6;4;2;1
23;39;11;66;56;13;5;7;17;4;12
18;24;20;22;45;18;12;13;0;0;0
19;41;9;67;74;16;4;7;12;2;11
24;33;30;22;45;24;12;18;0;0;0
21;39;14;69;61;13;4;5;13;12;9
29;35;18;45;52;19;12;15;8;5;8
12;34;10;62;53;16;14;6;9;4;17
15;41;14;53;67;9;7;6;5;8;1
24;37;21;26;45;17;7;9;2;0;0
11;30;27;41;47;7;12;4;3;1;7
18;33;18;40;41;15;8;7;2;2;4
24;34;19;31;54;18;8;14;1;0;2
25;17;13;64;49;19;14;3;14;13;13
29;43;22;60;58;16;12;13;12;2;11
23;36;29;47;44;8;14;8;7;7;7
15;11;20;31;42;11;3;5;3;2;1
15;40;12;77;49;13;10;14;21;11;19
14;42;20;24;36;8;8;6;1;1;1
18;33;11;45;45;17;8;6;8;7;7
26;40;14;56;54;24;12;10;11;5;11
25;43;19;41;47;20;14;15;11;4;2
16;24;18;32;42;8;3;3;5;5;0
21;39;21;48;55;12;14;4;4;2;7
29;36;23;25;50;17;8;15;0;0;0
15;39;6;71;66;8;8;3;14;12;20
21;33;10;54;53;14;6;6;8;6;17
12;38;13;83;52;16;2;3;8;1;10
21;48;18;49;58;15;7;6;4;5;1
19;36;6;55;50;8;12;7;8;9;13
25;49;25;33;60;18;10;7;4;1;1
22;31;20;39;42;16;9;13;5;2;1
24;43;17;46;59;18;6;8;5;5;7
29;41;26;30;36;11;12;6;5;4;0
12;29;17;64;49;7;2;3;0;0;2
19;38;16;70;53;13;6;6;12;9;5
30;41;20;46;51;19;14;15;10;4;5
8;33;12;67;50;10;10;3;12;5;12
22;40;21;36;54;17;12;6;2;2;1
23;40;17;53;58;18;10;3;7;8;10
26;30;26;36;32;18;14;10;4;2;1
14;29;25;43;46;15;10;9;3;4;1
18;36;15;60;42;10;8;8;9;11;15
13;42;21;46;48;8;6;3;5;7;5
13;26;17;55;43;16;10;5;5;4;7
21;44;16;40;51;14;9;8;2;2;2
12;30;17;38;46;10;2;3;2;1;5
26;30;13;52;43;24;14;19;9;9;12
28;40;14;73;73;24;14;10;16;7;19
26;48;18;45;58;15;10;10;7;7;7
18;38;11;47;54;11;2;7;4;2;8
27;42;11;55;49;14;12;10;11;7;10
20;39;14;59;57;10;14;3;10;7;15
22;41;13;54;53;15;4;7;7;0;8
20;45;10;67;61;19;9;15;14;10;14
18;24;24;33;33;13;3;6;3;0;1
20;39;20;22;45;14;2;5;0;0;0
18;40;16;43;34;19;6;6;1;1;4
18;29;15;56;50;14;7;6;14;13;9
24;25;28;30;38;12;6;12;4;1;0
21;34;21;33;21;13;10;8;11;9;6
26;45;18;46;60;18;6;14;5;4;4
28;43;17;55;51;23;14;17;13;9;11
14;40;18;50;57;16;5;5;5;6;2
6;39;19;67;49;8;4;6;12;13;11
12;35;9;59;57;9;6;3;9;3;17
25;37;10;74;36;18;14;8;13;12;19
22;42;23;44;49;14;12;9;3;0;1
30;30;13;59;29;19;14;15;13;3;5
21;37;10;47;56;10;12;10;14;8;8
18;34;20;33;51;21;6;3;5;3;1
21;44;20;41;49;22;9;12;3;1;0
21;38;20;29;49;20;14;6;2;0;0
20;34;19;27;57;13;8;6;1;1;1
26;45;17;53;49;22;13;15;13;11;12
13;21;19;43;48;4;2;3;7;9;8
22;36;22;34;45;22;10;18;7;6;3
16;46;16;52;42;19;2;5;7;8;2
18;33;15;62;45;22;12;18;14;14;14
21;30;18;34;48;10;7;6;5;1;2
22;41;10;52;55;18;7;5;6;0;9
13;37;21;35;51;14;6;7;6;8;9
12;28;13;49;42;5;6;6;9;1;6
18;31;20;41;47;10;6;4;2;1;1
30;55;7;74;75;23;14;15;16;13;14
28;32;20;38;45;23;10;10;6;3;2
28;48;18;56;65;14;14;18;11;3;5
26;35;17;38;49;10;5;4;3;1;0
27;44;12;64;67;17;9;15;18;10;11
12;32;16;61;59;14;6;6;10;10;13
23;42;6;61;67;12;4;5;16;5;20
27;41;19;41;59;17;10;6;6;0;1
26;32;20;28;48;12;14;9;1;0;1
16;12;23;45;44;7;6;6;8;0;1
17;37;26;28;47;15;10;6;1;1;1
19;28;19;46;51;18;10;12;4;0;2
10;21;13;51;63;9;2;4;9;7;12
12;33;18;47;43;14;3;3;11;12;5
13;20;17;27;46;6;4;6;2;0;0
19;26;20;33;54;14;10;8;5;1;2
24;45;2;30;71;18;9;10;8;3;7
17;34;9;43;59;9;12;4;1;1;9
20;37;26;27;52;14;10;5;1;0;0
27;45;22;59;52;20;13;15;4;2;1
30;45;22;38;72;20;13;5;5;2;0
22;28;21;26;36;10;8;7;1;0;0
19;33;20;28;44;16;10;14;0;1;0
24;44;28;36;62;12;9;6;4;0;1
22;43;7;71;63;12;8;7;18;9;16
11;16;15;51;58;8;2;3;12;2;3
19;40;16;51;52;11;10;13;8;6;8
25;36;28;43;48;15;14;4;3;3;3
25;46;7;73;63;8;12;6;10;4;10
17;38;11;58;51;9;4;4;12;8;13
24;38;23;50;52;15;9;6;5;0;5
17;33;20;63;53;19;14;7;14;7;9
27;41;6;79;60;24;14;9;18;16;17
24;43;13;75;60;28;14;15;11;12;9
17;16;23;49;39;6;3;4;4;4;4
16;30;16;61;48;10;8;7;12;11;13
9;25;28;31;51;8;7;3;5;0;0
19;39;11;67;46;17;14;9;16;15;17
8;48;5;81;56;4;2;5;21;15;20
26;42;19;38;40;19;12;6;6;2;8
19;38;11;55;48;14;11;12;9;9;11
13;32;9;73;70;16;10;6;7;4;8
22;22;19;29;46;19;14;10;10;7;7
26;19;18;35;49;14;14;11;4;3;2
25;29;23;25;40;10;14;9;1;1;0
11;25;9;55;60;8;7;6;5;4;12
7;23;23;23;39;12;7;7;1;0;0
23;34;10;46;51;18;14;18;7;4;9
16;26;12;49;57;17;12;8;11;0;9
17;13;26;31;42;20;10;15;0;0;0
30;46;21;34;54;16;14;14;2;3;1
24;41;8;52;57;20;3;5;8;8;10
22;43;14;59;73;17;4;7;10;4;7
8;20;25;42;30;12;13;6;4;2;2
23;46;15;54;59;23;10;6;9;9;10
25;28;24;34;43;13;14;5;2;1;2
25;37;11;55;54;9;12;15;14;12;12
21;29;22;45;44;24;13;9;5;5;5
25;44;21;31;45;20;14;16;3;2;0
25;29;4;65;49;13;14;6;12;11;18
19;26;25;30;40;18;8;7;4;2;1
20;27;6;75;55;13;6;6;15;15;20
21;33;20;37;47;10;6;7;0;0;0
27;31;20;30;47;28;13;13;4;2;1
26;33;25;41;58;23;4;9;1;0;0
26;39;24;25;55;13;14;7;3;1;0
25;49;6;65;62;15;12;15;6;1;14
20;31;17;48;41;24;13;13;8;2;4
23;22;20;31;34;26;4;5;1;0;1
14;15;3;23;29;5;12;7;0;0;0
21;41;20;51;51;13;6;8;9;5;3
20;35;18;55;49;24;13;11;12;14;7
22;36;13;54;42;17;6;13;13;11;12
29;33;10;64;55;10;14;13;18;17;18
12;37;18;28;50;10;6;5;7;4;8
14;43;12;56;57;12;4;15;10;4;12
28;28;17;31;45;14;14;10;0;2;1
20;30;13;53;50;7;10;6;8;5;13
26;45;20;37;67;15;8;14;7;9;1
16;41;20;50;55;19;7;6;13;12;4
18;28;17;38;41;12;7;11;6;2;1
18;20;18;41;56;16;10;11;11;11;9
14;19;15;65;48;5;12;3;10;7;7
14;27;18;36;33;6;11;4;3;1;5
25;31;17;47;52;18;6;11;2;0;2
23;33;16;50;61;11;14;9;6;6;2
30;36;19;38;51;10;10;10;4;4;3
21;23;18;45;57;12;14;6;1;1;1
21;40;9;53;64;14;12;8;7;1;8
26;45;19;49;64;15;14;6;9;4;6
20;45;21;35;38;17;10;11;2;0;2
9;48;3;66;65;20;4;10;13;8;20
24;36;18;50;49;14;7;9;2;1;0
16;28;19;40;47;9;8;4;6;7;5
21;40;9;79;55;25;14;10;18;17;15
21;37;15;77;49;17;4;10;11;5;11
30;42;10;65;49;24;14;15;14;11;13
29;49;22;29;52;15;14;15;5;4;2
12;41;13;61;61;18;10;5;3;6;6
29;38;14;44;40;12;10;11;7;7;7
20;49;9;80;62;11;11;6;14;8;18
24;39;15;54;48;20;12;6;8;4;9
22;40;18;50;46;14;12;14;9;11;7
21;39;19;37;43;20;8;9;5;2;2
29;42;21;60;47;9;13;10;10;13;8
13;33;21;31;48;9;7;4;4;0;2
19;38;16;52;45;18;12;14;10;12;9
23;31;20;47;27;17;8;5;3;0;0
25;41;27;43;45;20;7;10;5;2;2
30;44;20;44;48;25;13;17;12;9;7
25;37;22;54;39;23;10;16;11;16;7
16;23;19;34;50;10;7;6;0;0;0
22;18;30;22;36;11;8;14;0;0;0
25;44;18;48;66;12;6;5;5;0;1
27;45;10;48;60;14;8;12;8;1;13
25;27;25;28;49;12;14;7;5;2;3
24;44;9;63;72;20;10;9;10;3;10
14;26;23;28;34;11;3;6;3;0;0
30;53;15;63;62;20;12;13;10;4;6
24;39;9;57;49;13;14;7;10;11;9
28;50;23;62;57;26;14;18;19;19;20
22;32;22;30;45;10;12;7;3;1;0
25;42;26;33;55;12;14;7;0;0;0
16;26;18;26;40;9;9;4;1;1;0
15;34;14;47;59;15;6;3;10;9;4
9;14;4;50;60;7;6;3;7;6;9
28;41;18;32;46;14;10;8;1;0;0
18;37;27;50;50;17;12;10;3;2;4
21;43;20;45;45;12;8;4;8;1;5
24;43;18;49;72;23;10;12;10;1;1
15;22;30;28;43;6;4;5;4;2;0
18;17;30;33;27;13;7;8;5;0;0
15;31;30;39;43;16;12;9;3;0;0
27;26;20;33;39;11;13;9;1;0;0
14;35;22;30;59;14;6;6;8;2;1
29;33;14;55;53;21;8;7;15;9;14
12;45;22;38;57;18;10;6;1;2;1
19;39;18;61;49;18;14;6;6;7;10
21;30;24;26;41;11;10;7;3;0;0
20;20;1;62;43;11;13;14;16;3;20
17;37;12;51;43;24;12;18;13;9;10
15;38;2;80;67;8;6;7;17;8;21
25;42;13;65;65;27;8;6;15;7;15
26;17;26;36;49;13;9;9;6;1;0
29;49;17;52;60;17;12;9;12;4;9
15;29;18;55;46;21;8;12;7;8;6
22;36;6;81;54;22;13;9;21;15;20
20;37;10;45;68;13;10;7;7;4;3
17;33;25;39;50;8;14;6;7;6;2
