FBI1;FBI2;FBI3;FBI4;FBI5;FBI6;FBI7;FBI8;MSFU1;MSFU2;MSFU3;MSFU4;MSFU5;MSFU6;MSFU7;MSFU8;MSFU9;MSFU10;COMF1;COMF2;COMF3;COMF4;COMF5;COMF6;COMF7;COMF8;COMF9;COMF10;COMF11;RSES1;RSES2;RSES3;RSES4;RSES5;RSES6;RSES7;RSES8;RSES9;RSES10;CSS1;CSS2;CSS3;CSS4;CSS5;CSS6;CSS7;CSS8;CSS9;CSS10;CSS11;CSS12;CSS13;CSS14;CSS15;RRS1;RRS2;RRS3;RRS4;RRS5;RRS6;RRS7;RRS8;RRS9;RRS10;RRS11;RRS12;RRS13;RRS14;RRS15;RRS16;RRS17;RRS18;RRS19;RRS20;RRS21;RRS22;DASS1;DASS2;DASS3;DASS4;DASS5;DASS6;DASS7;DASS8;DASS9;DASS10;DASS11;DASS12;DASS13;DASS14;DASS15;DASS16;DASS17;DASS18;DASS19;DASS20;DASS21;FBI;MSFUP;MSFUaprivate;MSFUapublic;COMF;CSS;RSES;RRS;DASS_stress;DASS_anxiety;DASS_depression
4;3;5;5;2;4;107;120;7;4;4;5;2;7;2;2;2;2;5;2;4;2;4;4;3;4;2;4;4;1;1;2;1;1;1;1;0;1;1;3;2;4;4;5;4;5;5;1;4;4;4;4;4;4;2;1;3;2;2;3;2;1;2;4;2;1;3;1;3;3;2;2;2;2;1;3;2;0;1;1;1;2;0;2;2;3;2;2;1;0;1;1;1;1;2;1;0;23;15;9;6;38;57;10;47;11;7;8
5;2;5;4;4;4;20;60;6;3;2;5;2;7;7;4;3;2;4;4;4;2;4;4;4;3;5;4;4;2;1;2;2;2;1;2;1;2;2;5;4;5;4;4;4;4;5;2;4;3;4;4;4;4;2;2;2;3;3;4;2;1;2;2;1;1;3;3;3;2;2;2;2;2;2;2;1;2;2;1;3;2;0;1;1;2;1;2;1;1;1;1;1;0;1;1;2;24;12;14;9;42;60;17;48;8;7;12
4;3;4;2;3;4;10;3;7;3;2;3;2;2;2;2;2;2;4;4;4;3;5;4;4;5;4;4;4;2;2;2;3;2;2;2;2;2;2;2;3;4;4;5;2;3;4;4;4;4;4;3;2;4;2;2;3;2;2;2;2;1;2;1;2;1;3;1;3;3;2;3;3;1;2;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;20;10;4;6;45;52;21;44;3;1;1
4;3;4;4;4;4;417;60;7;4;4;3;2;7;6;1;2;2;3;4;2;2;3;4;4;3;4;4;2;3;3;2;2;3;3;3;3;3;3;5;2;4;2;3;4;2;4;2;1;2;4;2;2;2;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;23;13;13;5;35;41;28;25;2;1;1
5;4;5;5;4;5;400;90;7;5;4;4;4;6;7;3;3;3;4;4;5;4;3;4;3;4;4;4;4;2;2;2;2;2;2;2;2;2;2;4;4;4;2;3;5;3;5;3;3;4;2;2;4;4;2;3;3;2;2;3;3;2;3;2;1;1;2;2;3;2;3;2;3;3;1;2;3;1;2;0;2;2;0;0;0;3;3;1;3;1;0;2;0;2;0;0;1;28;17;13;9;43;52;20;50;12;1;13
4;3;4;2;3;4;359;10;6;2;1;2;1;7;7;2;2;2;4;2;2;2;3;2;2;3;3;2;2;3;2;2;2;2;1;3;3;2;3;4;1;4;1;4;2;1;4;4;1;4;4;1;1;2;2;3;4;3;3;2;1;2;1;3;1;2;4;2;3;3;1;2;3;1;1;4;2;0;1;0;3;2;1;2;2;0;2;3;0;1;0;0;0;2;1;0;0;20;6;14;6;27;38;23;51;14;4;4
4;3;5;5;3;5;220;30;6;3;3;2;3;3;3;4;4;4;4;4;3;3;5;4;4;4;5;4;4;1;1;2;2;1;1;2;0;1;1;5;4;5;3;5;5;3;5;5;4;3;5;4;5;3;3;3;3;3;1;2;2;1;3;2;1;1;2;2;3;4;2;3;2;3;1;2;1;0;0;0;1;0;0;1;1;0;0;2;0;2;0;0;1;1;0;0;0;25;11;6;12;44;64;12;49;7;1;2
4;5;4;4;4;5;186;60;6;7;6;5;5;6;6;7;6;5;5;4;4;4;5;5;4;5;4;5;4;2;3;2;3;3;3;2;3;3;3;5;2;5;2;3;3;3;4;3;3;2;5;3;2;3;1;2;2;2;1;3;1;2;3;2;2;1;2;2;1;2;2;2;2;2;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;26;23;12;18;49;48;27;39;3;1;2
4;2;5;2;2;1;100;60;7;5;6;7;6;5;5;2;2;2;4;3;4;2;4;2;3;5;2;3;1;2;2;2;3;2;1;2;0;2;2;5;4;5;4;5;3;4;4;4;4;4;5;4;3;4;1;1;2;3;1;2;3;1;1;3;3;1;4;1;1;4;2;2;2;3;3;1;0;0;0;1;2;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;16;24;10;6;33;62;18;45;4;1;5
2;2;2;2;2;2;100;1;3;2;1;1;1;1;1;2;1;1;5;4;4;4;4;5;4;4;1;5;4;2;1;2;2;2;1;2;1;2;2;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;2;2;3;2;2;2;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;1;1;1;0;0;1;1;1;0;1;0;0;0;2;1;1;0;0;12;5;2;4;44;61;17;48;3;5;6
4;1;3;1;1;1;170;60;7;4;2;2;2;4;5;5;3;5;1;1;1;1;1;1;1;2;4;1;1;3;3;3;3;3;3;2;3;3;3;5;1;5;1;4;1;1;4;1;1;1;5;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;11;10;9;13;15;33;29;24;1;0;2
1;2;1;1;4;2;100;0;2;2;1;2;1;1;1;1;1;1;4;2;4;4;2;4;4;2;1;4;2;2;2;3;2;3;3;2;1;3;3;4;3;4;4;5;4;4;5;5;3;2;5;4;4;4;3;2;4;2;4;2;2;4;1;2;1;1;3;3;3;3;2;2;3;3;1;1;0;0;0;0;0;2;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;11;6;2;3;33;60;24;52;5;2;2
4;4;3;3;4;3;120;500;4;4;4;5;4;5;6;5;3;4;4;3;3;4;3;3;4;3;4;2;3;1;1;1;2;1;3;1;2;2;2;3;2;2;3;3;2;3;3;3;2;3;3;3;3;3;3;2;3;4;2;3;3;2;3;3;2;2;2;3;1;3;3;3;2;2;3;3;2;2;1;2;1;2;2;1;1;2;2;2;1;1;2;2;3;2;2;1;2;21;17;11;12;36;41;16;57;12;12;12
5;3;4;5;3;4;541;25;7;5;4;5;4;6;6;1;2;2;4;3;4;4;2;4;3;2;4;4;4;3;3;3;3;3;3;3;2;3;3;3;2;2;4;5;5;4;4;3;3;4;2;2;5;4;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;24;18;12;5;38;52;29;24;1;1;0
2;1;2;1;1;1;70;10;4;2;1;1;1;2;2;1;1;1;4;1;1;1;1;4;1;1;1;4;4;0;0;0;1;0;0;0;2;0;0;2;5;3;3;2;4;2;4;4;3;4;4;4;4;5;2;1;2;2;1;4;3;4;1;2;2;1;2;1;1;2;2;4;4;3;2;2;0;0;1;0;1;1;0;0;0;2;1;1;1;1;0;1;1;1;0;0;2;8;5;4;3;23;53;3;48;5;0;9
4;3;5;4;2;2;450;300;7;5;3;5;4;7;7;1;2;1;4;4;3;4;4;4;3;4;2;4;2;2;1;2;3;2;1;2;1;2;2;5;4;5;2;4;3;2;4;4;4;3;5;3;4;3;2;1;1;2;1;2;1;1;1;2;1;1;3;1;2;3;1;3;1;2;1;2;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;20;17;14;4;38;55;18;35;2;2;4
2;3;3;2;2;2;203;30;3;4;3;4;4;3;4;3;4;4;2;3;2;3;2;3;2;3;2;3;2;2;2;1;1;1;2;2;2;2;2;2;2;3;3;2;2;4;3;3;3;2;2;4;3;3;2;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;15;7;11;27;41;17;29;0;0;0
5;3;5;5;3;4;250;90;7;2;2;4;2;5;5;5;4;4;3;2;3;2;4;4;3;4;4;4;5;0;1;2;0;1;0;1;1;1;2;4;5;4;5;4;4;5;4;5;4;4;4;4;4;5;3;3;4;4;3;3;2;1;4;3;3;1;4;3;4;3;2;3;4;2;3;4;1;3;0;2;2;1;2;2;1;1;2;2;1;1;2;1;2;2;3;2;1;25;10;10;13;38;65;9;66;11;15;8
5;3;5;4;2;3;401;120;7;6;6;5;5;5;5;3;3;5;4;4;2;2;5;4;2;4;5;4;2;2;2;3;2;2;2;3;3;3;3;3;2;5;4;4;3;1;4;5;1;4;4;2;1;5;3;2;2;2;1;1;2;1;1;2;3;2;3;3;1;3;2;2;2;2;3;2;0;0;0;0;1;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;22;22;10;11;38;48;25;45;3;0;2
4;2;4;2;2;3;60;75;6;3;2;4;2;2;1;2;2;3;4;3;4;2;3;3;2;4;2;3;3;2;1;2;2;2;1;2;1;2;2;4;4;4;3;5;4;3;4;4;4;4;4;3;4;4;2;1;2;2;3;2;3;1;3;2;2;1;1;2;3;2;2;3;2;2;1;2;0;1;1;1;2;1;0;0;0;1;1;0;1;2;0;1;2;1;1;1;2;17;11;3;7;33;58;17;44;5;4;10
5;4;4;5;3;5;125;180;7;5;5;6;5;5;4;6;5;4;4;3;3;2;3;5;4;3;4;5;4;2;3;2;2;3;3;2;2;3;2;5;3;4;4;5;4;4;5;4;3;5;4;4;4;5;2;1;2;3;2;2;2;1;2;1;2;1;2;1;3;1;1;1;2;1;2;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;1;0;1;0;26;21;9;15;40;63;24;36;6;1;5
5;3;5;4;4;1;200;60;6;6;6;6;6;6;6;5;6;5;4;4;4;5;4;5;3;3;4;5;4;1;1;1;1;1;1;2;0;0;1;4;2;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;0;2;2;3;3;2;2;2;3;2;3;3;2;2;3;3;2;2;2;3;22;24;12;16;45;59;9;88;17;12;20
4;3;4;4;4;4;500;45;6;3;2;2;2;4;1;1;2;1;4;4;4;4;4;4;4;4;3;4;4;2;2;2;2;2;1;2;1;2;2;4;2;4;4;4;4;4;4;2;4;2;4;2;3;2;2;3;3;3;2;2;3;2;3;3;2;2;2;2;2;2;2;2;2;3;2;2;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;9;5;4;43;49;18;51;7;5;7
5;3;5;5;4;4;162;100;7;3;1;3;1;5;2;2;2;2;5;2;4;1;2;5;4;2;4;5;1;3;3;3;3;3;3;3;3;3;3;5;3;4;4;4;3;4;5;5;4;3;4;3;4;5;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;8;7;6;35;60;30;23;0;0;0
4;3;5;5;4;5;577;60;7;6;4;4;3;6;6;2;2;2;1;3;4;4;4;3;4;4;3;3;4;2;2;2;2;1;1;2;2;2;2;3;2;3;3;4;2;3;4;3;3;3;4;2;3;3;3;2;3;3;3;2;2;1;2;2;1;1;3;3;2;2;2;2;3;2;3;1;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;26;17;12;6;37;45;18;48;3;0;3
4;3;4;3;2;2;11;30;6;1;1;2;1;6;6;2;2;2;1;1;1;1;3;1;1;3;3;1;1;2;2;2;3;2;1;2;1;2;2;4;4;5;1;3;1;1;3;1;1;2;4;3;1;4;3;1;2;1;3;1;2;1;1;1;2;1;2;1;1;1;2;1;1;2;2;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;18;5;12;6;17;38;19;33;2;0;4
2;1;3;1;1;1;316;0;2;2;2;2;2;6;6;1;1;1;2;3;4;2;4;4;3;3;3;3;4;1;1;2;2;1;1;2;1;1;1;3;4;4;2;4;4;3;3;4;2;3;4;4;4;4;3;2;2;3;2;4;2;3;3;2;3;1;2;2;3;2;3;3;4;2;2;2;1;0;1;0;2;1;1;1;2;3;2;2;1;1;2;2;1;2;1;2;2;9;8;12;3;35;52;13;55;10;8;12
2;2;2;4;3;5;285;15;6;5;2;4;1;4;5;3;3;2;2;2;2;1;3;2;1;3;4;2;1;1;2;3;2;1;2;2;0;2;1;4;4;5;3;4;2;4;3;4;3;4;5;2;1;4;2;1;3;3;1;4;2;1;2;1;4;1;3;2;1;1;2;2;2;1;3;1;2;0;1;0;2;0;0;1;2;1;0;3;1;1;0;2;1;0;0;0;2;18;12;9;8;23;52;16;43;7;2;10
1;3;1;1;1;1;30;2;2;4;4;3;3;1;1;1;1;1;2;3;2;4;2;4;2;2;2;4;2;2;3;3;3;3;3;3;1;3;2;3;3;4;1;2;5;1;4;3;1;3;4;3;4;3;1;1;1;2;2;2;3;1;2;2;4;2;4;1;2;2;2;3;2;2;4;2;0;1;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;1;0;0;0;8;14;2;3;29;44;26;47;5;1;0
2;2;2;1;2;2;30;5;5;3;2;3;2;2;4;2;2;1;3;3;4;4;4;3;3;4;2;3;2;2;2;2;3;2;2;3;1;2;1;4;5;3;2;2;2;2;2;4;1;3;4;4;2;4;2;3;3;3;3;2;3;3;3;3;3;1;4;3;3;3;2;1;3;1;2;2;1;2;1;1;2;2;2;1;1;1;2;2;1;2;2;1;1;2;1;1;2;11;10;6;5;35;44;20;56;12;10;9
4;4;4;3;4;4;1700;60;6;5;5;4;3;7;7;2;2;2;4;4;4;4;4;5;4;5;5;5;4;2;3;3;3;3;3;3;1;3;3;4;2;4;2;4;2;2;4;4;4;4;4;2;1;3;1;2;2;2;1;2;1;1;2;2;2;2;2;2;1;2;1;1;1;1;2;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;23;17;14;6;48;46;27;34;3;0;1
4;3;4;3;2;2;50;60;6;5;4;3;4;2;2;3;3;3;4;4;4;4;4;4;3;4;2;4;4;2;1;2;3;2;1;2;1;2;2;4;4;4;4;4;2;4;5;4;3;2;4;4;3;4;2;3;3;2;2;3;4;1;2;2;3;3;4;3;3;2;2;2;2;3;1;2;1;2;0;0;3;1;0;2;2;0;1;1;1;0;0;0;0;1;0;1;0;18;16;4;9;41;55;18;54;7;5;4
1;4;1;1;4;4;150;30;6;5;3;5;3;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;2;2;2;1;2;0;2;1;4;2;4;4;5;4;4;5;5;4;2;4;5;4;5;1;1;3;3;3;3;3;3;1;1;3;3;2;3;3;1;1;3;3;3;1;3;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;15;16;10;12;44;61;14;51;3;2;1
5;3;5;5;1;2;100;60;7;2;2;2;2;2;5;2;2;2;1;1;1;1;1;1;1;1;4;1;1;0;0;0;0;0;0;0;0;0;0;5;2;5;1;1;4;1;5;4;1;2;5;3;4;3;1;1;3;1;1;2;2;1;1;1;2;1;3;1;1;1;1;2;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;8;7;6;14;46;0;30;2;2;0
4;3;3;2;2;2;53;120;6;5;4;4;4;7;3;4;3;3;1;1;1;1;1;3;1;2;4;4;1;2;1;2;2;2;1;3;1;2;1;3;5;4;3;3;2;3;4;4;2;3;4;2;1;4;3;2;2;1;2;1;2;2;2;3;3;1;2;1;2;2;2;2;2;2;3;2;2;0;1;0;0;1;0;2;1;2;1;2;2;1;2;0;1;2;1;2;0;16;17;10;10;20;47;17;44;11;6;6
5;5;5;5;5;5;45;200;6;6;6;6;6;6;6;5;3;3;5;5;5;5;5;4;3;4;4;4;3;1;1;2;2;2;2;2;2;1;2;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;1;2;2;2;3;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;24;12;11;47;46;17;42;0;0;0
4;4;4;4;4;3;118;50;7;3;3;3;3;5;5;2;2;2;4;4;4;2;4;4;4;4;4;4;3;2;2;2;2;2;2;3;1;2;2;4;3;4;4;4;4;4;5;4;3;3;4;3;4;4;1;2;2;2;2;1;1;1;1;2;3;1;3;2;1;3;1;1;1;1;3;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;23;12;10;6;41;57;20;36;2;1;0
5;2;5;4;4;4;465;210;7;7;6;5;5;7;7;2;2;2;4;4;4;4;4;4;4;4;5;4;2;2;2;2;3;1;2;3;1;2;2;4;2;4;4;4;2;4;4;2;4;4;4;4;2;4;1;2;2;3;1;3;1;1;1;2;2;1;2;1;3;2;1;2;3;2;1;1;1;0;0;0;2;1;0;1;0;0;0;1;0;0;1;1;0;0;2;0;0;24;23;14;6;43;52;20;38;4;3;3
5;5;5;5;5;5;973;480;6;4;3;6;6;7;7;7;4;4;4;4;5;5;5;1;4;4;5;1;5;2;3;3;3;0;1;3;0;0;3;3;5;3;5;5;5;5;4;3;5;1;5;1;5;1;2;3;3;3;1;3;3;1;4;4;3;3;3;4;4;4;4;4;4;4;4;4;2;3;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;30;19;14;15;43;56;18;72;16;18;16
4;3;4;4;3;4;150;3;6;4;1;6;1;7;7;6;6;6;4;4;4;4;4;2;4;4;4;2;2;3;3;2;2;3;3;3;0;3;3;5;3;4;5;5;5;2;5;3;3;3;3;2;4;2;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;12;14;18;38;54;25;25;0;2;0
2;2;2;1;1;1;150;15;5;2;1;1;1;3;3;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;3;1;0;1;0;0;1;4;3;3;1;4;1;1;4;3;2;3;4;2;2;3;3;3;2;2;1;4;3;4;3;2;2;1;3;3;3;3;3;4;4;3;2;3;3;1;3;1;3;1;0;1;2;2;1;3;2;0;1;2;2;2;3;1;3;9;5;6;3;12;40;11;61;11;9;17
5;5;5;5;5;5;800;120;7;6;4;6;4;7;7;6;6;6;5;5;5;3;3;3;3;3;4;3;3;3;2;3;3;2;2;3;2;2;3;4;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;20;14;18;40;45;25;42;2;1;2
3;3;3;2;3;2;300;10;6;3;2;2;2;3;3;2;2;2;1;2;1;1;2;1;1;3;3;1;2;3;3;3;3;3;3;2;3;3;3;4;2;4;1;3;1;1;2;1;1;2;3;1;2;1;1;2;2;2;1;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;16;9;6;6;18;29;29;29;2;0;0
4;2;2;5;2;4;300;60;7;5;6;6;5;7;5;1;1;2;5;4;4;3;4;4;3;5;2;5;4;1;1;2;1;3;1;1;1;1;1;4;4;5;4;5;3;4;2;2;1;2;5;4;2;4;2;1;4;4;2;1;4;3;4;3;2;3;4;3;4;4;3;3;3;3;3;3;2;1;2;0;2;3;0;2;2;3;2;3;3;1;1;2;2;1;1;3;2;19;22;12;4;43;51;13;66;14;8;16
4;1;3;2;1;3;100;60;6;3;2;3;2;6;6;2;2;2;1;3;3;4;4;3;3;4;1;2;2;3;2;2;2;2;1;2;2;2;2;4;3;4;2;4;4;2;4;4;4;3;4;2;3;3;2;1;1;2;2;2;3;4;1;3;2;1;3;2;1;2;1;2;3;2;1;1;0;1;1;1;2;2;2;1;1;1;2;2;0;2;0;1;0;2;1;0;0;14;10;12;6;30;50;20;42;11;6;5
5;5;5;5;4;5;250;90;7;6;5;6;4;5;5;4;3;3;4;4;4;4;4;4;4;4;3;4;4;2;2;2;2;2;2;2;2;2;2;4;3;4;3;3;2;3;4;4;3;3;4;3;2;4;1;2;2;1;2;2;1;1;2;1;1;1;2;1;3;1;1;1;1;1;1;2;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;29;21;10;10;43;49;20;31;3;0;1
5;3;5;2;4;4;816;90;7;2;2;4;2;7;7;2;2;2;3;5;2;2;5;2;2;4;5;2;3;1;1;1;2;2;0;2;1;1;2;4;4;4;3;4;4;4;4;3;5;3;5;4;3;4;3;1;3;2;3;2;3;2;2;2;3;1;4;2;2;3;3;3;3;3;3;3;1;2;0;1;2;1;1;1;0;1;0;1;1;0;0;0;1;1;0;0;1;23;10;14;6;35;58;13;56;5;4;6
5;4;5;4;4;5;220;180;7;6;4;6;2;7;7;6;5;6;3;4;4;4;4;4;3;4;4;3;4;2;2;2;2;2;2;2;2;3;2;4;2;3;3;4;4;4;4;3;3;3;4;3;4;3;2;2;2;2;3;3;3;1;3;2;2;1;2;3;3;3;3;2;2;1;2;2;1;0;1;0;1;1;0;1;2;1;2;2;2;2;2;2;2;2;1;2;0;27;18;14;17;41;51;21;49;11;7;9
5;4;5;5;5;5;800;65;7;7;5;5;3;6;6;5;3;2;5;5;5;5;4;5;5;5;5;5;5;3;0;2;3;2;0;3;0;2;3;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;3;2;3;2;4;2;4;2;1;3;4;2;3;1;3;4;3;3;2;3;3;1;0;0;1;1;3;2;1;2;2;1;1;0;2;0;2;1;2;1;2;1;2;29;20;12;10;54;74;18;58;6;9;12
