FBI1;FBI2;FBI3;FBI4;FBI5;FBI6;FBI7;FBI8;MSFU1;MSFU2;MSFU3;MSFU4;MSFU5;MSFU6;MSFU7;MSFU8;MSFU9;MSFU10;COMF1;COMF2;COMF3;COMF4;COMF5;COMF6;COMF7;COMF8;COMF9;COMF10;COMF11;RSES1;RSES2;RSES3;RSES4;RSES5;RSES6;RSES7;RSES8;RSES9;RSES10;CSS1;CSS2;CSS3;CSS4;CSS5;CSS6;CSS7;CSS8;CSS9;CSS10;CSS11;CSS12;CSS13;CSS14;CSS15;RRS1;RRS2;RRS3;RRS4;RRS5;RRS6;RRS7;RRS8;RRS9;RRS10;RRS11;RRS12;RRS13;RRS14;RRS15;RRS16;RRS17;RRS18;RRS19;RRS20;RRS21;RRS22;DASS1;DASS2;DASS3;DASS4;DASS5;DASS6;DASS7;DASS8;DASS9;DASS10;DASS11;DASS12;DASS13;DASS14;DASS15;DASS16;DASS17;DASS18;DASS19;DASS20;DASS21;FBI;MSFUP;MSFUaprivate;MSFUapublic;COMF;CSS;RSES;RRS;DASS_stress;DASS_anxiety;DASS_depression
5;3;4;4;3;4;200;75;7;5;5;5;4;7;4;3;3;4;5;4;5;2;5;5;4;5;5;5;5;2;2;3;3;2;2;3;1;2;2;5;5;5;2;4;1;3;4;4;4;3;5;1;1;3;3;1;2;1;1;1;2;1;1;3;4;4;4;4;3;3;2;4;1;1;2;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;23;19;11;10;50;50;22;49;3;0;2
2;1;1;1;1;1;100;5;4;2;2;2;2;3;2;2;5;2;4;3;5;4;4;4;4;4;2;4;4;1;0;2;2;2;1;2;0;1;1;4;5;4;4;5;4;4;4;5;4;4;5;4;4;5;2;3;3;2;3;2;4;1;3;4;3;1;4;1;3;4;3;3;3;3;2;3;3;2;1;1;2;2;0;2;2;2;2;3;1;2;1;1;2;1;0;0;1;7;8;5;9;42;65;12;60;15;6;10
2;3;2;4;4;4;52;10;5;4;3;5;3;3;3;3;2;3;4;3;4;1;2;4;3;4;3;4;2;1;1;2;2;2;1;1;0;1;0;5;5;5;3;5;4;4;4;5;3;3;5;4;4;4;3;3;4;3;1;2;2;1;2;1;1;1;3;2;2;2;4;3;4;1;1;1;1;0;1;0;2;0;0;1;1;1;2;2;2;2;0;1;1;1;0;0;2;19;15;6;8;34;63;11;47;9;1;10
4;2;4;4;2;2;200;30;7;4;3;5;2;1;3;4;4;3;2;2;2;2;2;2;2;2;3;2;2;1;1;1;1;1;1;1;1;1;1;4;5;4;4;4;4;4;4;5;3;4;4;5;4;5;2;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;1;1;1;1;2;1;1;1;1;2;1;2;2;1;1;2;2;2;1;2;2;18;14;4;11;23;63;10;63;9;8;13
3;3;3;2;2;1;145;1;6;3;2;3;2;5;5;2;2;2;1;3;1;2;4;2;2;3;4;2;2;2;2;2;3;2;1;2;0;1;2;3;3;4;2;3;3;1;3;4;3;3;2;4;2;2;2;1;2;2;1;2;3;2;2;3;3;2;2;2;1;2;2;2;2;3;2;3;1;1;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0;2;1;0;0;14;10;10;6;26;42;17;46;6;4;2
4;2;2;3;1;2;270;120;6;3;2;2;2;1;5;2;2;2;4;2;2;3;2;4;3;2;3;4;2;2;2;2;2;2;2;2;2;2;2;4;3;3;2;3;4;4;4;4;2;3;4;2;3;4;2;2;2;2;1;4;2;3;2;2;2;1;1;2;3;3;2;1;4;2;2;1;1;0;1;0;2;1;0;0;1;2;0;1;1;1;0;1;0;0;0;0;1;14;9;6;6;31;49;20;46;4;1;8
4;3;4;2;2;3;150;100;6;6;5;6;6;5;5;2;2;2;4;4;4;4;4;4;4;4;2;4;5;1;0;1;1;1;0;2;0;2;1;4;5;5;4;4;5;4;5;4;3;4;5;4;4;4;3;4;3;3;3;4;4;3;3;3;3;1;3;3;3;3;3;3;4;3;3;3;3;1;2;1;2;3;0;2;2;2;2;2;2;2;2;2;2;2;1;1;2;18;23;10;6;43;64;9;68;16;8;14
4;3;4;4;4;5;60;30;7;2;2;1;1;5;5;2;2;2;2;2;2;2;4;2;2;2;4;3;1;3;3;3;3;3;3;3;3;3;3;4;2;3;2;5;3;2;5;4;3;2;2;2;3;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;6;10;6;26;44;30;23;0;0;0
5;3;5;2;2;3;400;20;7;6;5;6;5;5;5;2;2;2;4;3;4;3;2;4;3;2;3;4;4;2;1;3;3;3;1;3;1;3;3;5;3;5;3;5;5;3;5;4;2;2;5;4;4;4;1;2;3;3;2;2;2;1;2;1;1;2;3;3;2;3;2;3;2;2;3;3;2;1;1;0;1;2;0;1;1;0;2;2;1;0;0;1;0;2;0;0;1;20;22;10;6;36;59;23;48;11;2;5
2;3;4;4;4;2;350;60;6;4;3;3;3;2;2;3;1;1;4;3;2;4;3;5;4;3;3;5;4;1;1;2;1;1;0;3;1;0;1;5;2;3;4;4;2;3;4;5;4;4;5;3;2;5;2;1;2;1;2;4;3;2;3;2;1;1;2;1;3;2;3;2;3;3;1;3;1;0;1;0;3;2;0;1;0;1;0;2;0;0;0;2;0;0;0;1;1;19;13;4;5;40;55;11;47;6;1;8
2;3;2;2;3;2;300;4;5;4;4;4;4;1;1;2;2;2;4;4;4;4;4;3;3;4;4;4;2;3;2;2;2;2;2;2;2;2;2;3;4;5;2;4;3;3;4;2;4;2;4;3;2;3;1;2;3;3;2;2;1;1;2;2;2;1;3;2;1;2;1;2;2;1;1;2;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;14;16;2;6;40;48;21;39;4;1;1
4;3;4;4;3;2;500;3;6;3;3;3;3;4;4;2;2;2;4;3;4;4;3;4;3;2;3;4;4;2;2;3;3;2;3;2;1;3;3;4;3;4;2;3;4;3;4;4;3;2;3;4;4;2;2;2;2;3;3;1;3;1;2;2;2;4;3;2;4;3;2;2;2;3;3;2;2;2;0;0;0;2;0;1;1;1;1;0;1;1;0;0;0;2;0;0;0;20;12;8;6;38;49;24;53;9;3;2
5;3;5;4;4;3;635;20;7;5;5;4;3;7;7;3;3;3;5;5;4;3;4;4;4;4;5;4;4;0;0;3;2;0;0;2;0;0;1;4;5;5;3;4;5;5;5;5;4;4;5;5;5;4;3;2;2;2;2;2;3;3;2;4;2;2;4;2;4;4;2;3;2;2;2;2;1;0;0;1;1;1;0;2;1;1;1;1;1;1;1;0;1;1;1;1;1;24;17;14;9;46;68;8;56;8;5;5
4;1;4;3;2;2;200;60;7;4;4;3;3;7;7;4;2;3;4;5;3;4;4;4;3;4;4;3;2;1;2;0;1;1;2;1;2;1;0;3;4;4;3;5;4;3;4;3;2;4;4;3;3;3;3;2;3;4;3;3;3;2;3;3;4;3;3;3;4;3;4;3;3;4;4;3;2;2;1;2;2;2;3;2;2;2;1;1;1;2;3;2;2;2;2;2;1;16;14;14;9;40;52;11;70;12;16;11
4;1;3;3;3;4;600;3;6;4;3;4;3;5;5;3;2;2;4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;3;3;0;2;2;3;3;2;4;3;3;3;3;4;4;3;3;3;3;3;3;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;18;14;10;7;37;47;22;31;5;1;1
4;3;4;4;4;4;400;30;6;4;2;4;2;7;7;2;2;2;4;2;4;2;2;4;2;2;4;4;1;3;3;3;3;3;2;3;3;3;3;5;2;5;2;2;4;2;4;2;4;2;5;4;2;4;2;1;3;2;2;3;1;1;1;2;1;1;3;2;2;1;3;2;2;1;1;1;1;0;0;0;0;0;0;2;0;0;1;2;0;1;1;0;0;1;0;0;0;23;12;14;6;31;49;29;38;8;1;0
5;2;3;2;1;1;600;60;5;2;5;3;5;6;4;5;5;3;4;2;3;3;3;2;1;2;2;2;3;1;1;0;1;0;0;2;3;3;2;4;4;2;2;3;5;5;4;4;3;3;1;5;2;5;3;2;3;3;3;3;4;2;3;3;1;2;2;1;3;3;4;2;4;3;3;3;1;2;1;0;2;2;1;3;3;3;3;1;2;1;2;0;0;0;0;2;1;14;15;10;13;27;52;13;60;11;10;9
5;5;5;4;4;4;234;6;7;5;4;4;5;3;3;3;3;3;4;4;4;4;5;4;4;4;4;4;4;2;2;2;2;2;2;2;1;2;2;4;2;4;5;4;4;4;4;2;4;2;4;2;3;2;1;3;3;3;3;3;3;2;3;3;3;3;4;3;3;3;2;3;3;3;3;2;1;0;0;0;2;1;0;1;2;1;1;1;1;1;1;1;1;1;1;0;1;27;18;6;9;45;50;19;62;7;4;7
2;2;2;2;2;4;74;2;4;3;2;2;1;4;4;1;2;1;2;3;2;2;2;2;2;2;3;2;1;3;2;3;3;2;2;3;2;2;3;3;3;1;2;4;3;1;5;2;1;4;3;1;1;4;1;2;2;1;1;2;2;1;1;1;2;1;2;1;1;1;1;2;3;2;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;8;8;4;23;38;25;33;0;0;1
2;2;1;1;2;1;400;5;5;2;1;3;1;5;1;1;1;1;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;3;1;1;3;2;2;1;2;2;1;2;1;2;3;2;2;2;3;2;1;3;2;2;3;2;1;3;1;1;1;3;2;2;1;0;1;2;1;1;0;1;0;0;1;1;0;2;2;0;0;1;1;1;0;9;7;6;3;24;28;19;44;8;6;2
4;1;3;1;1;1;290;2;4;4;2;3;1;4;5;1;1;1;3;1;1;1;1;2;1;1;1;1;2;2;3;2;3;3;3;2;3;3;3;4;2;5;1;4;3;1;2;2;1;2;4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;10;9;3;15;37;27;22;1;0;0
4;2;4;3;4;3;40;70;7;4;5;3;3;7;7;3;3;3;4;5;5;5;5;5;5;5;5;5;5;3;1;2;2;3;1;3;2;3;3;2;3;4;1;1;1;1;3;2;1;1;5;1;1;1;2;3;2;3;1;1;1;2;1;1;2;2;2;3;1;1;2;2;2;2;2;1;0;1;1;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;2;0;0;20;15;14;9;54;28;23;39;1;5;4
5;5;5;5;5;5;355;135;7;7;7;7;7;6;5;6;6;7;4;5;5;4;5;5;3;5;5;5;4;0;0;0;0;0;0;0;3;0;0;5;2;5;3;5;5;5;5;2;5;2;5;3;4;4;2;2;3;1;4;2;4;2;4;4;4;4;4;1;1;2;2;3;1;4;4;2;3;2;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;30;28;11;19;50;60;3;60;4;3;1
2;1;1;1;1;1;378;20;3;2;1;2;1;4;4;2;2;2;2;1;1;1;1;1;2;1;2;1;2;2;2;3;1;2;2;2;0;1;3;3;5;2;2;3;4;2;3;4;3;4;2;3;3;3;1;1;2;2;3;2;1;2;3;2;2;2;3;2;1;3;1;2;2;3;2;3;0;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;2;1;1;0;7;6;8;6;15;46;18;45;4;5;4
5;3;5;5;2;3;68;20;7;4;3;4;3;3;2;4;4;4;4;2;3;3;4;3;3;4;3;4;3;0;0;1;1;0;0;2;1;0;0;4;5;5;3;4;2;3;4;4;3;3;5;5;2;5;1;2;3;3;2;4;2;1;4;4;2;1;2;2;4;4;4;3;4;2;1;2;1;0;1;0;3;1;0;0;0;1;2;3;2;0;1;2;1;1;1;0;1;23;14;5;12;36;57;5;57;8;2;11
2;3;2;2;4;3;350;5;5;5;3;3;2;1;2;2;2;2;3;4;2;3;5;4;3;5;3;4;4;2;3;3;2;2;2;2;1;2;2;4;4;4;4;5;2;4;5;5;3;2;4;4;3;3;2;1;2;1;1;2;3;1;2;2;2;3;3;2;2;2;2;1;1;2;2;2;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;16;13;3;6;40;56;21;41;1;2;1
5;4;4;4;4;5;178;30;6;5;3;5;4;6;5;5;6;5;4;5;4;3;4;4;3;4;4;3;2;2;1;1;2;0;1;2;2;1;3;3;2;5;4;4;3;2;4;3;2;3;4;3;2;3;2;3;2;1;2;2;3;2;3;2;1;2;2;3;4;3;2;1;2;2;3;2;2;1;2;3;2;1;0;1;2;2;1;2;1;3;2;2;1;2;3;2;1;26;17;11;16;40;47;15;49;12;13;11
4;3;4;4;3;4;300;60;5;4;2;3;2;7;7;5;3;5;3;4;4;3;4;4;4;4;4;4;3;2;2;3;3;2;2;3;2;3;2;4;3;4;3;4;3;2;4;3;3;2;4;3;2;3;2;1;2;2;1;2;3;1;2;2;3;1;2;1;1;1;2;2;2;3;3;1;1;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;22;11;14;13;41;47;24;40;2;0;6
4;3;4;4;3;4;104;25;7;4;3;5;2;5;7;5;5;5;4;2;2;4;4;3;4;4;4;3;4;1;2;2;2;2;1;2;1;2;1;3;4;4;4;4;4;4;4;4;3;4;4;3;3;4;3;3;1;2;1;4;4;3;4;4;3;1;4;2;1;3;3;4;4;4;2;3;1;0;2;0;3;2;0;1;1;2;2;1;2;0;0;3;3;2;0;0;2;22;14;12;15;38;56;16;63;9;1;17
4;4;3;2;4;3;620;20;5;4;3;3;2;3;3;3;2;2;4;3;4;2;4;4;4;4;3;4;4;2;2;1;2;3;3;2;1;3;2;4;3;3;4;4;3;4;2;2;3;3;2;2;3;2;2;3;2;1;3;2;4;2;2;1;2;1;3;2;3;2;1;2;3;2;3;3;1;0;2;2;1;1;2;1;1;2;1;2;1;0;1;2;2;1;2;1;1;20;12;6;7;40;44;21;49;7;9;11
4;3;4;4;4;4;50;10;3;3;3;3;3;1;1;2;2;2;4;4;4;4;4;4;4;4;4;4;4;2;2;2;3;2;2;2;2;2;2;4;4;3;3;3;2;3;4;4;3;4;3;4;3;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;12;2;6;44;51;21;25;0;1;0
1;1;1;2;1;1;2000;30;3;3;1;2;2;5;5;2;2;2;4;3;4;4;4;4;4;4;4;4;4;3;1;3;3;3;1;3;1;2;2;5;4;5;4;5;4;4;4;4;4;4;4;3;4;4;3;2;4;2;1;3;2;3;2;2;2;1;2;1;1;2;2;2;2;2;2;1;2;1;0;0;1;0;0;0;1;0;2;2;0;1;0;0;0;2;1;1;0;7;8;10;6;43;62;22;44;9;4;1
4;3;5;4;3;3;120;200;7;6;7;5;5;7;7;5;2;5;3;4;5;2;4;4;4;4;5;4;2;1;0;2;2;0;0;0;0;0;1;3;5;3;5;5;3;5;5;5;4;5;4;5;5;5;3;2;2;4;3;3;3;1;3;3;1;4;4;4;3;4;3;3;4;4;3;3;2;0;2;1;3;1;3;3;3;2;2;2;2;3;3;3;3;3;3;3;1;22;23;14;12;41;67;6;67;16;16;16
3;3;2;1;2;3;4;15;4;3;3;3;4;4;3;1;1;1;3;2;3;2;3;1;3;3;3;2;3;2;2;2;2;1;2;2;1;3;2;4;1;3;2;3;4;3;4;3;4;3;3;3;4;1;2;1;2;3;3;3;4;4;2;2;3;2;2;3;2;3;1;2;2;3;4;4;0;1;1;0;2;2;1;1;1;2;2;3;2;1;0;1;1;1;2;2;3;14;13;7;3;28;45;19;57;10;7;12
2;1;1;1;1;1;15;10;3;3;3;3;3;2;2;1;1;1;4;1;2;1;4;4;1;5;1;2;1;1;1;2;3;3;1;3;0;2;0;4;5;5;2;5;4;4;5;4;2;4;5;4;2;5;3;2;2;2;3;2;3;2;2;2;3;1;3;2;3;2;3;2;2;2;3;2;3;1;2;1;0;1;0;3;2;2;3;3;3;3;2;2;1;1;1;1;2;7;12;4;3;26;60;16;51;17;8;12
2;3;3;1;1;2;83;10;4;4;1;4;4;1;1;4;4;4;2;2;2;2;2;4;2;2;2;4;2;1;0;1;1;0;0;1;0;0;1;3;2;3;3;3;3;3;2;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;12;13;2;12;26;43;5;67;15;14;14
3;3;2;3;2;4;15;30;6;5;6;5;5;1;1;3;5;4;4;3;3;2;3;4;3;3;4;4;3;2;2;2;2;2;2;2;1;2;2;2;3;3;3;4;3;2;3;3;4;3;3;3;4;3;2;3;2;2;3;2;1;1;2;3;2;2;2;2;3;1;2;3;2;1;3;2;1;2;2;1;2;2;0;2;0;1;0;2;0;0;1;0;0;2;0;1;2;17;21;2;12;36;46;19;46;9;5;7
4;1;4;1;1;3;300;15;6;3;1;1;1;3;3;1;1;1;3;2;1;2;1;3;1;4;3;3;3;2;2;2;2;1;1;2;2;2;2;4;4;3;1;3;1;1;1;3;4;3;3;1;1;3;1;3;2;2;1;2;1;1;2;2;1;1;1;2;2;2;1;1;2;2;3;1;0;0;1;0;2;1;0;1;0;1;1;0;1;1;0;0;1;0;0;0;1;14;6;6;3;26;36;18;36;4;0;7
5;3;5;4;4;3;125;120;7;7;4;7;4;6;5;6;5;4;5;3;5;2;4;5;5;2;5;5;5;1;0;1;1;0;1;1;0;1;0;5;5;4;5;5;5;5;3;5;5;4;3;5;5;5;4;1;2;4;1;4;2;1;1;2;1;1;3;4;1;3;1;4;2;1;1;1;1;2;3;0;2;3;2;0;3;0;2;3;1;0;0;1;3;0;0;0;0;24;22;11;15;46;69;6;45;9;7;10
5;3;5;5;4;5;170;30;7;2;2;2;2;2;6;2;2;4;4;4;4;3;4;4;3;4;5;4;4;2;0;2;2;2;0;2;2;2;2;5;5;5;4;5;3;4;5;5;4;4;5;4;4;4;2;1;3;3;1;2;4;1;3;3;3;1;4;3;2;4;3;4;2;4;2;4;2;0;0;0;1;2;0;0;0;0;2;2;2;0;0;0;1;1;0;0;0;27;8;8;8;43;66;16;59;9;0;4
4;3;4;4;3;4;60;30;7;3;2;3;1;5;5;2;2;1;4;2;2;2;2;4;1;1;3;4;4;1;1;2;2;2;1;2;1;2;2;4;4;4;2;3;2;2;4;4;1;3;4;2;2;4;3;2;3;4;2;4;2;2;3;3;1;1;3;3;2;3;2;3;3;2;1;2;1;0;1;1;2;1;0;0;0;1;1;2;1;1;0;1;0;2;1;0;1;22;9;10;5;29;45;16;54;8;2;7
2;2;2;2;2;1;110;5;6;3;2;2;1;1;2;2;2;2;4;2;3;4;4;4;3;2;2;2;4;0;0;1;2;0;0;1;1;0;1;2;4;4;1;2;5;2;4;4;2;3;4;4;4;4;1;1;2;2;2;3;2;1;2;3;2;2;2;2;3;2;3;3;3;2;2;2;1;2;1;0;2;0;0;0;0;2;2;2;3;1;0;1;3;1;0;0;2;11;8;3;6;34;49;6;47;7;2;14
5;5;5;5;5;5;115;120;7;7;2;7;1;5;5;4;5;5;5;5;5;5;5;5;5;5;5;1;5;2;1;2;2;2;1;2;1;2;2;4;4;2;5;5;4;4;4;5;4;5;4;5;4;5;1;2;3;3;3;3;3;3;3;3;1;1;3;3;3;3;3;3;3;3;1;3;1;2;1;0;2;2;0;0;2;0;1;1;1;0;0;1;1;1;0;0;0;30;17;10;14;51;64;17;57;6;4;6
5;4;4;4;4;4;290;240;7;5;4;5;4;7;7;3;4;3;2;4;3;3;4;4;4;4;4;4;2;2;0;2;2;2;0;1;1;2;1;3;4;2;3;4;3;2;4;5;3;2;5;5;4;5;3;2;4;3;2;3;2;3;3;4;3;1;2;3;3;4;3;3;3;3;3;4;3;1;2;2;2;3;2;2;1;2;2;2;2;2;2;2;2;3;1;2;1;25;18;14;10;38;54;13;64;17;11;13
4;2;4;5;2;2;350;30;7;4;3;5;4;5;5;1;2;2;5;4;4;2;4;5;4;4;3;4;5;1;0;2;1;1;1;2;0;2;1;5;4;5;4;5;4;4;5;4;3;4;5;3;4;4;2;2;3;3;1;2;3;3;3;3;3;2;4;2;2;3;2;2;3;4;2;1;1;1;1;0;0;2;0;2;0;1;2;2;2;0;0;1;1;2;1;0;0;19;16;10;5;44;63;11;55;11;2;6
5;2;4;4;2;4;200;30;6;5;4;5;5;6;6;1;3;3;4;4;4;3;5;4;4;3;2;3;4;2;1;3;2;2;1;2;1;2;2;4;3;4;4;4;2;4;5;4;3;3;4;2;2;3;2;3;2;2;2;2;3;1;1;2;3;2;3;2;2;2;2;2;1;2;3;2;1;0;0;1;1;1;1;2;2;1;1;1;1;0;2;1;1;1;0;1;0;21;19;12;7;40;51;18;46;7;7;5
2;2;2;2;1;1;250;1;2;2;1;1;1;3;3;1;1;1;1;2;1;1;1;1;1;1;1;5;1;3;2;3;3;3;3;3;1;3;3;4;3;4;4;4;4;4;4;4;3;3;4;2;3;4;1;1;2;2;1;1;2;1;2;2;1;2;2;1;1;2;1;2;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;6;3;16;54;27;31;2;0;0
5;4;5;5;4;5;350;360;3;5;6;7;6;6;6;2;3;3;3;4;4;4;4;4;4;3;2;4;4;2;2;2;3;2;2;2;2;3;2;3;4;4;3;4;4;4;5;4;3;4;4;2;3;4;2;2;3;2;2;2;3;1;3;3;2;1;3;4;4;3;2;3;3;1;1;2;2;1;0;1;1;2;0;1;2;0;2;1;1;1;2;2;1;0;1;0;1;28;24;12;8;40;55;22;52;9;7;6
4;2;5;4;3;2;59;120;6;4;2;3;1;6;5;5;3;2;5;4;4;3;4;4;4;4;4;4;4;1;0;1;1;0;0;1;1;0;0;5;5;5;5;4;5;4;4;5;5;4;5;5;5;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;3;2;3;3;1;2;3;3;3;3;3;3;1;3;3;3;2;2;3;20;10;11;10;44;71;5;87;20;12;21
4;3;4;4;2;2;200;240;6;4;3;4;3;7;7;1;1;1;4;3;5;3;3;5;4;5;3;5;5;1;0;2;1;0;0;0;1;0;0;3;5;4;4;4;3;4;2;5;4;4;5;4;2;5;3;4;2;2;2;4;4;3;3;3;3;2;4;3;3;4;3;4;4;4;3;4;2;1;2;1;3;3;1;2;3;3;2;2;3;2;2;3;3;1;1;1;3;19;14;14;3;45;58;5;71;14;10;20
5;4;5;4;2;3;350;300;7;4;5;4;4;7;7;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;0;1;2;1;1;2;2;1;1;4;4;4;2;3;4;2;4;3;2;3;4;4;3;4;3;3;3;3;3;3;2;3;3;3;2;1;3;3;3;3;2;3;3;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1;3;23;17;14;3;14;50;12;60;13;13;14
1;1;1;1;1;2;50;0;2;2;1;2;1;2;2;1;1;1;2;1;1;1;1;2;1;1;1;2;1;3;3;3;3;3;3;3;2;3;3;2;1;3;2;2;1;1;3;1;1;3;3;1;1;1;1;3;1;2;1;2;3;1;2;1;2;4;2;2;1;1;1;1;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;4;3;14;26;29;38;0;0;0
